mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.2,3.0,0.1,0.04,0.2,0.07011061591090896,0.041279438261512036,0.028831177649396925,30,0.04000000000000001,0.40000000000000013
rank,30,0.8,1.0,0.0,0.04,0.2,0.0701062140535877,0.041279438261512036,0.028826775792075668,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,1.6,0.1,0.04,0.2,0.07010454751736522,0.041279438261512036,0.028825109255853187,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,1.0,0.2,0.04,0.2,0.07009454548253363,0.041279438261512036,0.028815107221021596,30,0.04000000000000001,0.40000000000000013
rank,30,0.5,1.0,0.1,0.04,0.2,0.07009255308072991,0.041279438261512036,0.028813114819217875,30,0.04,0.39999999999999997
rank,30,0.8,1.2,0.2,0.04,0.2,0.07008971353927396,0.041279438261512036,0.02881027527776192,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,1.0,0.2,0.04,0.2,0.07008507137202566,0.041279438261512036,0.028805633110513623,30,0.04,0.39999999999999997
rank,30,0.2,1.6,0.2,0.04,0.2,0.07007915741103618,0.041279438261512036,0.028799719149524144,30,0.04,0.39999999999999997
rank,30,0.35,3.0,0.0,0.04,0.2,0.07007470827794819,0.041279438261512036,0.028795270016436156,30,0.04,0.39999999999999997
rank,30,0.1,2.4,0.2,0.04,0.2,0.07007056108550455,0.041279438261512036,0.028791122823992515,30,0.04,0.39999999999999997
rank,30,0.05,3.0,0.2,0.04,0.2,0.07007051698560399,0.041279438261512036,0.02879107872409195,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,1.6,0.0,0.04,0.2,0.07006252920027617,0.041279438261512036,0.028783090938764133,30,0.039999999999999994,0.3999999999999999
rank,30,0.35,2.4,0.05,0.04,0.2,0.0700439399342916,0.041279438261512036,0.028764501672779566,30,0.04,0.39999999999999997
rank,30,0.5,1.2,0.05,0.04,0.2,0.07002764200717383,0.041279438261512036,0.028748203745661796,30,0.03999999999999998,0.3999999999999998
rank,30,0.35,2.0,0.1,0.04,0.2,0.07001018626789125,0.041279438261512036,0.028730748006379217,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,1.2,0.1,0.04,0.2,0.07000619827588421,0.041279438261512036,0.028726760014372174,30,0.04000000000000001,0.40000000000000013
rank,30,0.8,1.2,0.0,0.04,0.2,0.06999917314720915,0.041279438261512036,0.02871973488569711,30,0.04,0.39999999999999997
rank,30,0.2,2.0,0.2,0.04,0.2,0.06999873006719043,0.041279438261512036,0.028719291805678393,30,0.039999999999999994,0.3999999999999999
rank,30,0.8,1.2,0.05,0.04,0.2,0.0699975190472531,0.041279438261512036,0.028718080785741062,30,0.04,0.39999999999999997
